               SKB    CPU          PROCESS                     FUNC        TIMESTAMP
0xffff9f5f0ac5da00      3           [ping]       validate_xmit_vlan    1026589967820 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       validate_xmit_xfrm    1026589975330 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      dev_hard_start_xmit    1026589982175 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]   skb_clone_tx_timestamp    1026589989552 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        __dev_forward_skb    1026589996500 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       __dev_forward_skb2    1026590003252 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         skb_scrub_packet    1026590010521 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]           eth_type_trans    1026590018028 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 netif_rx    1026590025422 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        netif_rx_internal    1026590032305 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       enqueue_to_backlog    1026590039816 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]              consume_skb    1026590050643 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]   skb_release_head_state    1026590058384 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         skb_release_data    1026590065520 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]            skb_free_head    1026590072382 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]             kfree_skbmem    1026590082668 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      __netif_receive_skb    1026590091077 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping] __netif_receive_skb_one_core    1026590098097 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         pskb_expand_head    1026590105183 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]            skb_free_head    1026590112570 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping] bpf_prog_run_generic_xdp    1026590120229 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 skb_push    1026590130477 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]           dev_queue_xmit    1026590137912 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         __dev_queue_xmit    1026590144489 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       qdisc_pkt_len_init    1026590151359 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      netdev_core_pick_tx    1026590158663 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        validate_xmit_skb    1026590166049 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       netif_skb_features    1026590172672 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]  passthru_features_check    1026590179981 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]     skb_network_protocol    1026590187165 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       validate_xmit_vlan    1026590193948 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       validate_xmit_xfrm    1026590201228 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      dev_hard_start_xmit    1026590208104 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]   skb_clone_tx_timestamp    1026590215380 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        __dev_forward_skb    1026590222296 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       __dev_forward_skb2    1026590229036 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         skb_scrub_packet    1026590236183 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]           eth_type_trans    1026590243405 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 netif_rx    1026590250765 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        netif_rx_internal    1026590257560 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       enqueue_to_backlog    1026590264884 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      __netif_receive_skb    1026590272381 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping] __netif_receive_skb_one_core    1026590279150 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                   ip_rcv    1026590286104 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]              ip_rcv_core    1026590292964 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]               sock_wfree    1026590299950 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]     ip_route_input_noref    1026590307242 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       ip_route_input_rcu    1026590314235 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      ip_route_input_slow    1026590321127 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      fib_validate_source    1026590329093 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         ip_local_deliver    1026590338697 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]  ip_local_deliver_finish    1026590346564 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]  ip_protocol_deliver_rcu    1026590353698 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        raw_local_deliver    1026590360891 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]             raw_v4_input    1026590368082 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                skb_clone    1026590377496 10.10.0.20:0->10.10.0.10:0(icmp)
